Date,Close,High,Low,Open,Volume
08/11/2022,15675,15721,15572.59961,15675,0
09/11/2022,15645,15691,15601.5,15645,0
10/11/2022,15671.5,15714.5,15518.90039,15671.5,0
11/11/2022,15500,15570.7998,15280.2002,15500,0
14/11/2022,15473.90039,15591.09961,15424.2998,15473.90039,0
15/11/2022,15530.09961,15586.2002,15494,15530.09961,0
16/11/2022,15557,15637,15531,15557,0
17/11/2022,15655,15757.09961,15596,15655,0
18/11/2022,15720,15720,15640.09961,15720,0
21/11/2022,15629.40039,15736,15664.2002,15629.40039,0
22/11/2022,15755,15756.2998,15660.7998,15755,0
23/11/2022,15671,15705.90039,15590.7998,15671,0
24/11/2022,15619.59961,15680,15616.40039,15619.59961,0
25/11/2022,15605,15721.7998,15605,15605,0
28/11/2022,15675.09961,15745.59961,15666,15675.09961,0
29/11/2022,15746,15748.59961,15702.40039,15746,0
30/11/2022,15726.5,15743.7002,15661.5,15726.5,0
01/12/2022,15634.5,15644.09961,15384.7002,15634.5,0
02/12/2022,15355.5,15450.2002,15286,15355.5,0
05/12/2022,15421,15472.2002,15327.2998,15421,0
06/12/2022,15520.2998,15667.90039,15461,15520.2998,0
07/12/2022,15623,15655.2998,15531,15623,0
08/12/2022,15596,15637.59961,15566.5,15596,0
09/12/2022,15590,15614,15459,15590,0
12/12/2022,15582,15678.7002,15576,15582,0
13/12/2022,15676.2998,15685.5,15503.5,15676.2998,0
14/12/2022,15554.7002,15647.7002,15545,15554.7002,0
15/12/2022,15481,15673,15481,15481,0
16/12/2022,15626,15640.5,15579.7998,15626,0
19/12/2022,15615.90039,15621,15539.5,15615.90039,0
20/12/2022,15567.5,15649.2998,15508.2002,15567.5,0
21/12/2022,15556,15633,15512.40039,15556,0
22/12/2022,15513,15591.2998,15500,15513,0
23/12/2022,15563,15606,15559.2998,15563,0
26/12/2022,15565.90039,15637.5,15554.2998,15565.90039,0
27/12/2022,15607,15687.2998,15600.2998,15607,0
28/12/2022,15617.5,15795.2998,15615,15617.5,0
29/12/2022,15789,15789,15598.09961,15789,0
30/12/2022,15620,15651,15371.40039,15620,0
02/01/2023,15508.7998,15588.7002,15463.90039,15508.7998,0
03/01/2023,15550,15638.7998,15514.90039,15550,0
04/01/2023,15571.7998,15627.5,15553.5,15571.7998,0
05/01/2023,15560,15640.90039,15558.5,15560,0
06/01/2023,15620,15692.09961,15558.09961,15620,0
09/01/2023,15602.2998,15626,15545.7998,15602.2998,0
10/01/2023,15580,15606.5,15516.5,15580,0
11/01/2023,15528.90039,15576.40039,15429.5,15528.90039,0
12/01/2023,15414,15476,15145.90039,15414,0
13/01/2023,15172,15231.5,15106.90039,15172,0
16/01/2023,15114.7998,15138,14974.2002,15114.7998,0
17/01/2023,15082,15206.5,15067,15082,0
18/01/2023,15162,15192.2002,15010.7998,15162,0
19/01/2023,15096,15193.59961,15081,15096,0
20/01/2023,15141,15164.7002,15022.2998,15141,0
23/01/2023,15055.90039,15068,14969.59961,15055.90039,0
24/01/2023,15007,15068,14857.40039,15007,0
25/01/2023,14955.5,14993.7002,14881,14955.5,0
26/01/2023,14938.7002,14981.59961,14926,14938.7002,0
27/01/2023,14942.5,14993.5,14937,14942.5,0
30/01/2023,14970.40039,14995.90039,14956.2998,14970.40039,0
